1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:orig	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:orig	2_anno_scriptorium:pos
142128	ⲕ	obl	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERO	142131	ϩⲓ	case	'NULL'	ϩⲓ	'NULL'	ϩⲓ	'NULL'	PREP
673237	ⲕ	nsubj	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERS	673243	ϩⲟⲙⲟ ⲗⲟⲅⲉⲓ	advcl	'NULL'	ϩⲟⲙⲟⲗⲟⲅⲉⲓ	'NULL'	ϩⲟⲙⲟⲗⲟⲅⲉⲓ	'NULL'	V
684621	ⲕ	nsubj	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERS	684624	ϩⲙ	case	'NULL'	ϩⲛ	'NULL'	ϩⲙ	'NULL'	PREP
684676	ⲕ	obl	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERO	684679	ϩⲙ	case	'NULL'	ϩⲛ	'NULL'	ϩⲙ	'NULL'	PREP
688085	ⲕ	obl	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERO	688088	ϩⲛ	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	'NULL'	PREP
688093	ⲛⲉⲕ	det	ⲡⲉⲕ	'NULL'	ⲛⲉⲕ	'NULL'	PPOS	688097	ϩⲃⲏⲩⲉ	obl	'NULL'	ϩⲱⲃ	'NULL'	ϩⲃⲏⲩⲉ	'NULL'	N
691474	ⲕ	nsubj	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERS	691477	ϩⲟⲡ	root	'NULL'	ϩⲱⲡ	'NULL'	ϩⲟⲡ	'NULL'	V
700173	ⲃⲱⲕ	ccomp	ⲃⲱⲕ	'NULL'	ⲃⲱⲕ	'NULL'	V	700178	ϩⲛ	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	'NULL'	PREP
705016	ⲃⲱⲕ	advcl	ⲃⲱⲕ	'NULL'	ⲃⲱⲕ	'NULL'	V	705019	ϩⲛ	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	'NULL'	PREP
705344	ⲃⲱⲕ	root	ⲃⲱⲕ	'NULL'	ⲃⲱⲕ	'NULL'	V	705347	ϩⲛ	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	'NULL'	PREP
709482	ⲕ	nsubj	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERS	709487	ϩⲩⲡⲟⲕⲓⲥⲑⲁⲓ	root	'NULL'	ϩⲩⲡⲟⲕⲓⲥⲑⲁⲓ	'NULL'	ϩⲩⲡⲟⲕⲓⲥⲑⲁⲓ	'NULL'	V
976432	ⲁⲛⲟⲕ	dislocated	ⲁⲛⲟⲕ	true	ⲁⲛⲟⲕ	'NULL'	PPERI	976439	ϩⲱ	advmod	'NULL'	ϩⲱⲱ	'NULL'	ϩⲱ	'NULL'	IMOD
981823	ⲡⲉⲕ	det	ⲡⲉⲕ	'NULL'	ⲡⲉⲕ	'NULL'	PPOS	981828	ϩⲟ	obl	'NULL'	ϩⲟ	'NULL'	ϩⲟ	'NULL'	N
981956	ⲕ	det	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERO	981959	ϩⲁ	case	'NULL'	ϩⲁ	'NULL'	ϩⲁ	'NULL'	PREP
988846	ⲁⲛⲟⲕ	dislocated	ⲁⲛⲟⲕ	true	ⲁⲛⲟⲕ	'NULL'	PPERI	988853	ϩⲱ	advmod	'NULL'	ϩⲱⲱ	'NULL'	ϩⲱ	'NULL'	IMOD
1621459	ⲧⲉⲕ	det	ⲡⲉⲕ	'NULL'	ⲧⲉⲕ	'NULL'	PPOS	1621463	ϩⲙϩⲁⲗ	nmod	'NULL'	ϩⲙϩⲁⲗ	'NULL'	ϩⲙϩⲁⲗ	'NULL'	N
1621524	ⲛⲉⲕ	det	ⲡⲉⲕ	'NULL'	ⲛⲉⲕ	'NULL'	PPOS	1621528	ϩⲙϩⲁⲗ	nmod	'NULL'	ϩⲙϩⲁⲗ	'NULL'	ϩⲙϩⲁⲗ	'NULL'	N
1624286	ⲛⲕⲟⲧⲕ	xcomp	ⲛⲕⲟⲧⲕ	'NULL'	ⲛⲕⲟⲧⲕ	'NULL'	V	1624290	ϩⲛ	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	'NULL'	PREP
1624495	ⲛⲕⲟⲧⲕ	acl	ⲛⲕⲟⲧⲕ	'NULL'	ⲛⲕⲟⲧⲕ	'NULL'	V	1624498	ϩⲁⲣⲁⲧ	case	'NULL'	ϩⲁⲣⲁⲧ	'NULL'	ϩⲁⲣⲁⲧ	'NULL'	PREP
1624587	ⲧⲉⲕ	det	ⲡⲉⲕ	'NULL'	ⲧⲉⲕ	'NULL'	PPOS	1624592	ϩⲙϩⲁⲗ	appos	'NULL'	ϩⲙϩⲁⲗ	'NULL'	ϩⲙϩⲁⲗ	'NULL'	N
1624614	ⲡⲉⲕ	det	ⲡⲉⲕ	'NULL'	ⲡⲉⲕ	'NULL'	PPOS	1624618	ϩⲟⲓⲧⲉ	nmod	'NULL'	ϩⲟⲉⲓⲧⲉ	'NULL'	ϩⲟⲓⲧⲉ	'NULL'	N
1624637	ⲧⲉⲕ	det	ⲡⲉⲕ	'NULL'	ⲧⲉⲕ	'NULL'	PPOS	1624641	ϩⲙϩⲁⲗ	obl	'NULL'	ϩⲙϩⲁⲗ	'NULL'	ϩⲙϩⲁⲗ	'NULL'	N
1625369	ⲛⲕⲟⲧⲕ	root	ⲛⲕⲟⲧⲕ	'NULL'	ⲛⲕⲟⲧⲕ	'NULL'	V	1625372	ϩⲁⲣⲁⲧ	case	'NULL'	ϩⲁⲣⲁⲧ	'NULL'	ϩⲁⲣⲁⲧ	'NULL'	PREP
1626831	ⲁⲛⲟⲕ	dislocated	ⲁⲛⲟⲕ	true	ⲁⲛⲟⲕ	'NULL'	PPERI	1626840	ϩⲱ	obl:npmod	'NULL'	ϩⲱⲱ_ⲁⲛⲟⲕ	'NULL'	ϩⲱ	'NULL'	IMOD_PPERO
1963021	ⲕ	obl	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERO	1963024	ϩⲛ	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	'NULL'	PREP
1965997	ⲕ	obj	ⲛⲧⲟⲕ	'NULL'	ⲕ	'NULL'	PPERO	1966000	ϩⲉⲛ	det	'NULL'	ⲟⲩ	'NULL'	ϩⲉⲛ	'NULL'	ART
