1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:orig	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:orig	2_anno_scriptorium:pos
671398	ϣⲟⲟⲡ	advcl	ϣⲱⲡⲉ	'NULL'	ϣⲟⲟⲡ	'NULL'	VSTAT	671401	ϩⲓϫⲙ	case	'NULL'	ϩⲓϫⲛ	'NULL'	ϩⲓϫⲙ	'NULL'	PREP
671434	ⲡ	det	ⲡ	'NULL'	ⲡ	'NULL'	ART	671438	ϩⲓⲉⲣⲟⲥ	nsubj	'NULL'	ϩⲓⲉⲣⲟⲥ	'NULL'	ϩⲓⲉⲣⲟⲥ	'NULL'	N
673736	ⲡ	det	ⲡ	'NULL'	ⲡ	'NULL'	ART	673740	ϩⲡⲩ	obl	'NULL'	ϩⲡⲩ	'NULL'	ϩⲡⲩ	'NULL'	N
674841	ⲡ	det	ⲡ	'NULL'	ⲡ	'NULL'	ART	674845	ϩⲏⲧ	obl	'NULL'	ϩⲏⲧ	'NULL'	ϩⲏⲧ	'NULL'	N
675058	ⲡ	det	ⲡ	'NULL'	ⲡ	'NULL'	ART	675062	ϩⲉⲛⲁⲧⲟⲛ	nmod	'NULL'	ϩⲉⲛⲁⲧⲟⲛ	'NULL'	ϩⲉⲛⲁⲧⲟⲛ	'NULL'	NPROP
677928	ⲡ	det	ⲡ	'NULL'	ⲡ	'NULL'	ART	677933	ϩⲁⲅⲓⲟⲥ	nmod	'NULL'	ϩⲁⲅⲓⲟⲥ	'NULL'	ϩⲁⲅⲓⲟⲥ	'NULL'	N
679839	ⲡ	det	ⲡ	'NULL'	ⲡ	'NULL'	ART	679843	ϩⲓⲛⲏⲃ	obl	'NULL'	ϩⲓⲛⲏⲃ	'NULL'	ϩⲓⲛⲏⲃ	'NULL'	N
684337	ⲡ	det	ⲡ	'NULL'	ⲡ	'NULL'	ART	684342	ϩⲉⲛⲁⲧⲟⲛ	ccomp	'NULL'	ϩⲉⲛⲁⲧⲟⲛ	'NULL'	ϩⲉⲛⲁⲧⲟⲛ	'NULL'	NPROP
684831	ⲥⲟⲡ	obl	ⲥⲟⲡ	'NULL'	ⲥⲟⲡ	'NULL'	N	684834	ϩⲙ	case	'NULL'	ϩⲛ	'NULL'	ϩⲙ	'NULL'	PREP
685011	ⲡ	det	ⲡ	'NULL'	ⲡ	'NULL'	ART	685016	ϩⲁⲅⲓⲟⲥ	nmod	'NULL'	ϩⲁⲅⲓⲟⲥ	'NULL'	ϩⲁⲅⲓⲟⲥ	'NULL'	N
