1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:orig	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:orig	2_anno_scriptorium:pos
2009596	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	2009599	ⲓⲙⲉ	obl	'NULL'	ⲥϩⲓⲙⲉ	'NULL'	ϩⲓⲙⲉ	ⲓⲙⲉ	N
2011076	ⲧ	det	ⲡ	'NULL'	ⲧ	ⲧ	ART	2011078	ϩⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ϩⲉ	N
2011278	ⲧ	det	ⲡ	'NULL'	ⲧ	ⲧ	ART	2011281	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	'NULL'	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	NPROP
2011424	ⲧ	det	ⲡ	'NULL'	ⲧ	ⲧ	ART	2011427	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	obl	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	'NULL'	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	NPROP
2012727	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	2012730	ϩⲛ	case	'NULL'	ϩⲛ	'NULL'	ϩⲛ	ϩⲛ	PREP
2013858	ⲧ	det	ⲡ	'NULL'	ⲧ	ⲧ	ART	2013861	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	dislocated	Hebrew	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	'NULL'	ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ϩⲓⲉⲣⲟⲥⲟⲗⲩⲙⲁ	NPROP
2014779	ⲧ	det	ⲡ	'NULL'	ⲧ	ⲧ	ART	2014782	ϩⲉ	nsubj	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ϩⲉ	N
2014941	ⲧ	det	ⲡ	'NULL'	ⲧ	ⲧ	ART	2014943	ϩⲉ	obl	'NULL'	ϩⲉ	'NULL'	ϩⲉ	ϩⲉ	N
2016060	ⲧ	det	ⲡ	'NULL'	ⲧ	ⲧ	ART	2016063	ϩⲁⲧⲛ	case	'NULL'	ϩⲁⲧⲛ	'NULL'	ϩⲁⲧⲛ	ϩⲁⲧⲛ	PREP
2016065	ⲑ	det	ⲡ	'NULL'	ⲧ	ⲑ	ART	2016068	ⲁⲗⲁⲥⲥⲁ	nmod	Greek	ϩⲁⲗⲁⲥⲥⲁ	'NULL'	ϩⲁⲗⲁⲥⲥⲁ	ⲁⲗⲁⲥⲥⲁ	N
2016227	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	2016230	ϩⲙⲟⲟⲥ	acl	'NULL'	ϩⲙⲟⲟⲥ	'NULL'	ϩⲙⲟⲟⲥ	ϩⲙⲟⲟⲥ	V
2016282	ⲧ	det	ⲡ	'NULL'	ⲧ	ⲧ	ART	2016285	ϩⲁⲓⲃⲉⲥ	conj	'NULL'	ϩⲁⲉⲓⲃⲉⲥ	'NULL'	ϩⲁⲓⲃⲉⲥ	ϩⲁⲓⲃⲉⲥ	N
2016644	ⲧ	det	ⲡ	'NULL'	ⲧ	ⲧ	ART	2016647	ϩⲏ	obl	'NULL'	ϩⲏ	'NULL'	ϩⲏ	ϩⲏ	N
2016916	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	2016919	ϩⲙ	case	'NULL'	ϩⲛ	'NULL'	ϩⲙ	ϩⲙ	PREP
2017043	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	ⲉⲧ	CREL	2017045	ϩⲓⲧⲉ	acl	'NULL'	ϩⲓⲧⲉ	'NULL'	ϩⲓⲧⲉ	ϩⲓⲧⲉ	V
