1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:new_sent	1_anno_scriptorium:norm	1_anno_scriptorium:pos	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lemma	2_anno_scriptorium:new_sent	2_anno_scriptorium:norm	2_anno_scriptorium:pos
142677	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	142680	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
671187	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	671190	ⲉ	root	ϩⲉ	'NULL'	ϩⲉ	N
671377	ⲉⲧ	mark	ⲉⲧⲉⲣⲉ	'NULL'	ⲉⲧ	CREL	671380	ϩⲛⲛ	case	ϩⲛ	'NULL'	ϩⲛ	PREP
671688	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	671692	ⲓⲥⲧⲱⲣⲓⲁ	obj	ϩⲓⲥⲧⲱⲣⲓⲁ	'NULL'	ϩⲓⲥⲧⲱⲣⲓⲁ	N
671874	ϩⲏⲧ	obl	ϩⲏⲧ	'NULL'	ϩⲏⲧ	N	671879	ϩⲱⲥ	mark	ϩⲱⲥ	'NULL'	ϩⲱⲥ	CONJ
671973	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	671976	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
672525	ⲉⲓⲱⲧ	appos	ⲉⲓⲱⲧ	'NULL'	ⲉⲓⲱⲧ	N	672529	ϩⲙ	case	ϩⲛ	'NULL'	ϩⲙ	PREP
672578	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	672581	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
672709	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	672714	ⲉ	nsubj	ϩⲉ	'NULL'	ϩⲉ	N
672842	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	672846	ⲉ	obl	ϩⲉ	'NULL'	ϩⲉ	N
672898	ⲑ	det	ⲡ	'NULL'	ⲧ	ART	672902	ⲏ	obl	ϩⲏ	'NULL'	ϩⲏ	N
